Order,Brüt m²,Net m²,Rooms,Bath,Floors,Floor Location,Building Age,Heating Type,Furniture,Using Status,Building Status,Housing Type,Rent Earning,From,Suitable for Credit,Price,Coord1,Coord2,Street,District,Location3,Due Price,Suitable for exchange
2043,105,100,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,169000,40.98888151,28.7034076,Cihangir,Avcılar, İstanbul,,Evet
2044,90,1,2+1,1,4,2,1,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,850,Danışman,Evet,245000,40.9582011,29.21522538,Fatih,Sancaktepe, İstanbul,50,
2045,220,195,4+1,2,,,,,,,,,,,Hayır,1495000,41.09974516,28.78915451,Başakşehir,Başakşehir, İstanbul,,
2046,155,150,3+1,2,7,6,21-25 arası,Kombi (Doğalgaz),,Mülk Sahibi,İkinci El,,0,,Evet,1550000,41.0153735,28.95953186,Molla Hüsrev,Fatih, İstanbul,0,
2047,75,60,2+1,1,3,Bahçe katı,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,,Danışman,Evet,190000,41.00198178,28.92392539,Sümbül Efendi,Fatih, İstanbul,,
2048,85,77,2+1,1,10-20 arası,9,6-10 arası,Merkezi Sistem,Eşyasız,Mülk Sahibi,,,0,,Evet,310000,41.11469596,28.74283846,Kayabaşı,Başakşehir, İstanbul,150,Evet
2049,135,100,3+1,2,7,6,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,0,,Evet,1550000,40.96286452,29.07664145,Suadiye,Kadıköy, İstanbul,0,
2050,90,75,2+1,2,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,250000,40.98686567,29.25597267,Adil,Sultanbeyli, İstanbul,50,
2051,160,155,3+1,1,9,9,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,En Üst Kat,0,,Evet,900000,40.96844347,29.10129398,Kozyatağı,Kadıköy, İstanbul,0,
2052,95,85,2+1,1,5,1,26-30 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,2500000,Danışman,Evet,500000,41.01075674,28.86937503,Haznedar,Güngören, İstanbul,30,
2053,110,90,3+1,1,4,1,2,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1250,Danışman,Evet,300000,40.98176683,29.22467582,Eyüp Sultan,Sancaktepe, İstanbul,50,Evet
2054,120,110,3+1,2,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,249000,40.98592068,29.2499931,Osmangazi,Sancaktepe, İstanbul,0,
2055,130,120,3+1,1,3,1,1,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,302000,41.00668604,29.20794632,Sarıgazi,Sancaktepe, İstanbul,0,
2056,140,107,3+1,2,7,2,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,1250000,40.97365555,29.06553012,Göztepe,Kadıköy, İstanbul,0,
2057,280,210,5+2,4,5,5,4,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,Sıfır,Dubleks,3000,Danışman,Evet,875000,40.99308366,28.61875643,Adnan Kahveci,Beylikdüzü, İstanbul,200,
2058,90,80,2+1,1,5,4,16-20 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1000,Danışman,Hayır,182000,41.00514989,28.83596074,Zafer,Bahçelievler, İstanbul,,
2059,100,90,2+1,1,9,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,290000,41.04269182,28.83640098,Yenimahalle,Bağcılar, İstanbul,50,
2060,95,90,2+1,1,9,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,1250,Danışman,Evet,240000,40.86982569,29.28911648,Orhangazi,Pendik, İstanbul,0,Evet
2061,200,199,4+1,2,,,,,,,,,,,Hayır,5700000,40.9760519,28.79791595,Şenlikköy,Bakırköy, İstanbul,,
2062,122,106,3+1,2,5,2,0,Merkezi Sistem (Isı Payı Ölçer),,,,,0,,Hayır,372000,41.12622699,28.77296928,Kayabaşı,Başakşehir, İstanbul,0,
2063,180,150,4+1,2,10-20 arası,9,0,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,0,Danışman,Evet,1800000,40.96572918,29.08719469,19 Mayıs,Kadıköy, İstanbul,0,
2064,110,90,2+1,1,4,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,139900,41.01710703,28.63556046,Cumhuriyet,Beylikdüzü, İstanbul,0,Evet
2065,120,119,3+1,1,4,2,6-10 arası,Kombi (Doğalgaz),,Boş,,,0,,Evet,365000,41.03378714,28.88957977,Davutpaşa,Esenler, İstanbul,0,
2066,110,110,2+1,1,3,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1500,,Evet,380000,40.99148,28.69991192,Cihangir,Avcılar, İstanbul,,Evet
2067,90,85,2+1,1,5,3,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,235000,40.91374508,29.28604002,Şeyhli,Pendik, İstanbul,0,
2068,95,80,2+1,1,3,Yüksek Giriş,5,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,2000,Danışman,Evet,310000,40.98702046,28.78759514,Yeşilova,Küçükçekmece, İstanbul,25,
2069,85,75,2+1,1,4,4,0,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,,Çatı Dubleksi,0,,Evet,185000,41.01973673,28.78662812,Söğütlü Çeşme,Küçükçekmece, İstanbul,0,Evet
2070,170,160,3+1,2,4,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ters Dubleks,900,Danışman,Evet,238000,40.98743231,29.2622184,Adil,Sultanbeyli, İstanbul,,Evet
2071,183,145,3+1,2,20 ve üzeri,11,0,Klima,Eşyasız,Boş,,Ara Kat,0,Danışman,Hayır,1055000,41.1242674,28.77018503,Kayabaşı,Başakşehir, İstanbul,0,
2072,140,125,3+1,2,4,1,5,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,2000,Danışman,Evet,450000,41.00866775,28.84896488,Soğanlı,Bahçelievler, İstanbul,50,
2073,90,85,2+1,1,5,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,1200,Danışman,Evet,245000,41.09836235,28.89046955,Yunus Emre,Sultangazi, İstanbul,,
2074,100,85,3+1,2,6,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,320000,40.97503375,29.2739524,Ahmet Yesevi,Sultanbeyli, İstanbul,0,Evet
2075,125,120,2+1,1,4,3,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,,Danışman,Evet,185000,41.01069418,28.63838897,Cumhuriyet,Beylikdüzü, İstanbul,,
2076,75,68,1+1,1,,,,,,,,,,,Hayır,140000,41.0408168,28.86338029,Fatih,Esenler, İstanbul,,
2077,80,70,2+1,1,6,Bahçe katı,,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,İnşaat Geliştirici,Evet,129000,41.03774361,28.6833173,Yenikent,Esenyurt, İstanbul,,Evet
2078,83,70,2+1,2,4,1,6-10 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Ara Kat,1300,Danışman,Evet,385000,41.01012522,29.11733868,Site,Ümraniye, İstanbul,30,
2079,140,125,3+1,2,5,2,0,Kombi (Doğalgaz),,Boş,Sıfır,Ara Kat,1500,,Evet,435000,41.01457989,29.11523938,Armağanevler,Ümraniye, İstanbul,30,Evet
2080,94,86,2+1,1,4,3,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,300000,41.02387216,29.14099831,Ihlamurkuyu,Ümraniye, İstanbul,25,Evet
2081,147,146,3+1,2,10-20 arası,8,0,Güneş Enerjisi,,,Yapım Aşamasında,,0,,Evet,730000,41.13268,28.83236,Eski Habipler,Sultangazi, İstanbul,0,
2082,225,200,3+2,2,,,,,,,,,,,Hayır,380000,41.00188463,28.70431859,Mustafa Kemal Paşa,Avcılar, İstanbul,,
2083,100,90,2+1,1,3,2,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,364000,41.100295,28.86837634,Uğur Mumcu,Sultangazi, İstanbul,0,
2084,90,75,2+1,1,6,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,770000,41.05407633,29.00344596,Dikilitaş,Beşiktaş, İstanbul,,
2085,100,87,2+1,1,10-20 arası,8,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Kiracılı,İkinci El,Ara Kat,2000,Danışman,Evet,525000,41.09595485,28.77301758,Başakşehir,Başakşehir, İstanbul,,
2086,110,105,2+1,1,5,2,2,Kombi (Doğalgaz),Eşyasız,Boş,,,0,Danışman,Evet,365000,41.09726994,28.8652747,Uğur Mumcu,Sultangazi, İstanbul,0,
2087,90,85,2+1,1,3,Bahçe katı,4,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,,Danışman,Evet,190000,41.10903052,28.85744505,İsmetpaşa,Sultangazi, İstanbul,,Evet
2088,110,100,3+1,1,5,5,21-25 arası,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Hayır,190000,40.9789533,28.71788772,Merkez,Avcılar, İstanbul,0,
2089,250,221,5+1,3,5,4,16-20 arası,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,Boş,,,0,,Evet,575000,41.00392736,28.53656618,Mimaroba,Büyükçekmece, İstanbul,0,
2090,83,80,2+1,1,10-20 arası,5,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,235000,41.01377133,28.68278575,Zafer,Esenyurt, İstanbul,,Evet
2091,60,55,1+1,1,6,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,1500,Danışman,Evet,350000,40.94726471,29.10893083,Küçükyalı,Maltepe, İstanbul,1,
2092,80,70,2+1,1,5,Yüksek Giriş,2,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,Giriş Kat,850,Danışman,Evet,205000,41.10142274,28.89856376,Gazi,Sultangazi, İstanbul,,Evet
2093,130,120,3+1,1,4,1,6-10 arası,Kombi (Doğalgaz),Eşyasız,,,Ara Kat,2000,Danışman,Evet,575000,41.02533876,29.08174339,Kısıklı,Üsküdar, İstanbul,,
2094,95,90,2+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,Danışman,Evet,200000,41.13325678,28.83951443,Habibler,Sultangazi, İstanbul,,
2095,140,130,3+1,2,4,4,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,,0,,Evet,340000,41.03597854,28.83037562,Güneşli,Bağcılar, İstanbul,0,
2096,110,100,2+1,1,5,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,,Danışman,Evet,143000,40.98216666,28.72532501,Merkez,Avcılar, İstanbul,,Evet
2097,135,120,3+1,2,10,4,11-15 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,,Ara Kat,0,,Evet,398000,40.93727763,29.29213606,Yenişehir,Pendik, İstanbul,210,
2098,130,129,3+1,2,5,3,1,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,Ara Kat,,Danışman,Evet,380000,40.96989014,29.13226216,Fındıklı,Maltepe, İstanbul,,
2099,92,75,2+1,1,10-20 arası,8,0,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,750000,40.96568968,29.08760527,Kozyatağı,Kadıköy, İstanbul,100,
2100,95,90,2+1,1,4,3,16-20 arası,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,,Danışman,Evet,270000,40.97744257,28.72275643,Denizköşkler,Avcılar, İstanbul,,
2101,100,80,2+1,1,8,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1300,Danışman,Evet,365000,40.89382928,29.25726558,Dumlupınar,Pendik, İstanbul,,
2102,210,185,4+1,2,5,4,16-20 arası,Kombi (Doğalgaz),Sadece Beyaz Eşya,Mülk Sahibi,İkinci El,Ara Kat,13000,Danışman,Evet,4900000,41.05849145,29.02561806,Ortaköy,Beşiktaş, İstanbul,1020,
2103,120,119,2+1,2,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1200,Danışman,Evet,325000,41.01889433,29.18625355,Mehmet Akif,Çekmeköy, İstanbul,15,
2104,98,96,2+1,1,5,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,,Evet,499000,41.00595522,28.85261721,Siyavuşpaşa,Bahçelievler, İstanbul,,
2105,100,90,2+1,1,10-20 arası,8,36-40 arası,Merkezi Sistem,Eşyasız,Boş,İkinci El,Ara Kat,2500,Danışman,Evet,810000,40.9783204,28.8596612,Ataköy 2-5-6. Kısım,Bakırköy, İstanbul,,
2106,100,90,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1700,Danışman,Evet,500000,40.99033712,28.77643846,Cennet,Küçükçekmece, İstanbul,,
2107,110,100,2+1,2,4,3,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1000,Danışman,Evet,330000,41.0547105,29.24506882,Çatalmeşe,Çekmeköy, İstanbul,,
2108,90,85,2+1,1,4,4,0,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,İkinci El,En Üst Kat,0,Danışman,Evet,318500,41.02584904,29.16765787,Aşağı Dudullu,Ümraniye, İstanbul,0,
2109,126,120,2+1,2,20 ve üzeri,20 ve üzeri,2,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Boş,,,0,,Evet,765000,41.11845826,28.77279639,Kayabaşı,Başakşehir, İstanbul,0,
2110,145,130,3+1,1,10-20 arası,8,16-20 arası,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Mülk Sahibi,İkinci El,Ara Kat,1750,Danışman,Evet,450000,40.99749732,28.64867989,Barış,Beylikdüzü, İstanbul,130,
2111,95,80,2+1,1,5,2,2,Kombi (Doğalgaz),,Mülk Sahibi,İkinci El,Ara Kat,1300,Danışman,Evet,315000,40.8262659,29.3075874,Yayla,Tuzla, İstanbul,,
2112,220,185,5+2,2,4,4,2,Kombi (Doğalgaz),Sadece Mutfak,Kiracılı,Sıfır,Çatı Dubleksi,2250,Danışman,Evet,475000,41.02587687,28.58701011,19 Mayıs,Büyükçekmece, İstanbul,,
2113,90,85,2+1,1,3,Bahçe katı,1,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,225000,41.06281778,28.90660276,Merkez,Gaziosmanpaşa, İstanbul,0,
2114,168,167,3+1,2,10-20 arası,5,4,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,,,0,,Evet,805000,40.98197038,28.67302993,Marmara,Beylikdüzü, İstanbul,0,
2115,450,420,7+2,4,2,7,16-20 arası,Merkezi Sistem,Eşyasız,Boş,,En Üst Kat,0,,Evet,5500000,40.96845501,29.07972336,Erenköy,Kadıköy, İstanbul,0,Evet
2116,85,80,2+1,1,4,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,1000,Danışman,Evet,188000,41.0085416,28.83031274,Yenibosna Merkez,Bahçelievler, İstanbul,30,
2117,135,130,3+1,1,6,2,21-25 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,265000,41.03445996,28.79901076,Halkalı Merkez,Küçükçekmece, İstanbul,20,
2118,62,55,1+1,1,10-20 arası,3,0,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,,Sıfır,Ara Kat,1900,Danışman,Evet,365000,41.009014,28.806009,Tevfik Bey,Küçükçekmece, İstanbul,,
2119,110,109,3+1,1,6,2,1,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,490000,40.88218322,29.22412205,Sapan Bağları,Pendik, İstanbul,0,Evet
2120,95,80,2+1,1,5,Kot 4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,320000,41.01025809,29.26545516,Mevlana,Sancaktepe, İstanbul,,
2121,144,143,3+1,2,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,,Evet,253000,40.99762441,28.70269149,Mustafa Kemal Paşa,Avcılar, İstanbul,0,Evet
2122,135,134,3+1,2,8,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,,Evet,335000,41.08534948,28.25010628,Yeni,Silivri, İstanbul,0,
2123,107,90,2+1,1,4,3,26-30 arası,Kombi (Doğalgaz),,Mülk Sahibi,İkinci El,,0,,Evet,510000,40.88631,29.19735,Kordonboyu,Kartal, İstanbul,0,
2124,400,388,6+1,5,4,3,6-10 arası,Merkezi Sistem,,,,Ara Kat,,Danışman,Evet,12000000,41.10924278,29.02654759,Pınar,Sarıyer, İstanbul,,
2125,100,70,3+1,1,4,Yüksek Giriş,5,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Giriş Kat,0,Danışman,Evet,325000,40.91458685,29.21552449,Yakacık Çarşı,Kartal, İstanbul,0,
2126,130,105,3+1,1,6,2,21-25 arası,Klima,Eşyalı (Mobilyalı),Kiracılı,,Ara Kat,0,,Hayır,269000,40.90616715,29.22289447,Cumhuriyet,Kartal, İstanbul,0,Evet
2127,95,90,2+1,1,5,1,0,Kombi (Doğalgaz),,,,,,Danışman,Evet,220000,41.00940978,28.66752127,Güzelyurt,Esenyurt, İstanbul,20,
2128,120,110,3+1,2,4,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,900,Danışman,Evet,325000,40.95969947,29.21480615,Fatih,Sancaktepe, İstanbul,20,Evet
2129,210,190,4+1,5,4,Çatı Katı,0,Klima,,Boş,Sıfır,,0,,Evet,3500000,41.0856361,29.0346947,Etiler,Beşiktaş, İstanbul,0,
2130,113,110,3+1,2,5,2,0,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Hayır,850000,41.04925278,29.05751505,Çengelköy,Üsküdar, İstanbul,,
2131,100,90,2+1,1,,1,26-30 arası,Kalorifer (Doğalgaz),Eşyalı (Mobilyalı),Boş,İkinci El,,1700,Danışman,Hayır,350000,40.93170373,29.122597,Feyzullah,Maltepe, İstanbul,20,
2132,90,85,2+1,1,5,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,1100,Danışman,Evet,235000,41.09868044,28.89004643,Yunus Emre,Sultangazi, İstanbul,,
2133,110,80,2+1,2,9,4,2,Klima,Eşyasız,Mülk Sahibi,,,0,,Evet,795000,40.96475575,29.08147282,Suadiye,Kadıköy, İstanbul,0,
2134,105,100,3+1,1,7,Yüksek Giriş,0,,,Boş,Sıfır,Giriş Kat,1350,Danışman,Evet,320000,40.90860095,29.18438147,Esentepe,Kartal, İstanbul,0,
2135,140,125,3+1,1,8,Kot 4,4,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,450000,41.03206229,29.2312761,Taşdelen,Çekmeköy, İstanbul,,
2136,180,174,4+1,2,2,Kot 2,21-25 arası,Kalorifer (Akaryakıt),Eşyasız,Mülk Sahibi,Sıfır,Çatı Dubleksi,5000,,Evet,4500000,41.099178,29.066756,Kanlıca,Beykoz, İstanbul,500,
2137,135,115,2+1,2,10-20 arası,7,0,Merkezi Sistem (Isı Payı Ölçer),Sadece Beyaz Eşya,,Sıfır,Ara Kat,3000,Danışman,Evet,749000,41.009014,28.806009,Tevfik Bey,Küçükçekmece, İstanbul,,
2138,98,92,2+1,1,3,Yüksek Giriş,0,Klima,Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,950000,40.99722704,28.86570811,Bahçelievler,Bahçelievler, İstanbul,0,
2139,90,70,2+1,1,10,Yüksek Giriş,2,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,675000,40.9644047,29.08475944,Suadiye,Kadıköy, İstanbul,0,
2140,90,85,2+1,1,5,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1200,Danışman,Evet,300000,41.1071271,28.90205221,Zübeyde Hanım,Sultangazi, İstanbul,,Evet
2141,90,85,2+1,1,3,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,Danışman,Evet,700000,41.00618614,28.86621542,Bahçelievler,Bahçelievler, İstanbul,0,
2142,125,108,2+1,1,3,2,26-30 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,Danışman,Evet,490000,40.93303363,29.1209187,Feyzullah,Maltepe, İstanbul,0,
2143,100,85,3+1,1,8,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,2600,Danışman,Evet,680000,40.96234873,29.1047854,Bostancı,Kadıköy, İstanbul,100,
2144,90,89,2+1,1,4,1,0,Kombi (Doğalgaz),Sadece Mutfak,Boş,Sıfır,Ara Kat,1300,,Evet,330000,41.03916067,28.8276422,Güneşli,Bağcılar, İstanbul,0,
2145,135,95,2+1,2,4,1,0,Kombi (Doğalgaz),Sadece Beyaz Eşya,Boş,Sıfır,Ara Kat,4000,Danışman,Evet,1050000,40.98897712,28.88235927,Kartaltepe,Bakırköy, İstanbul,,
2146,135,115,3+1,1,,,,,,,,,,,Hayır,200000,41.03262451,29.23085969,Taşdelen,Çekmeköy, İstanbul,,
2147,95,90,2+1,1,5,Yüksek Giriş,4,Kombi (Doğalgaz),Eşyasız,Mülk Sahibi,,,0,,Evet,255000,41.10753815,28.85495045,İsmetpaşa,Sultangazi, İstanbul,0,
2148,250,240,4+2,2,5,4,0,Kombi (Doğalgaz),Eşyalı (Mobilyalı),Boş,Sıfır,Dubleks,2500,İnşaat Geliştirici,Evet,900000,41.00350469,28.67404272,Yakuplu,Beylikdüzü, İstanbul,0,Evet
2149,145,130,3+1,2,6,2,21-25 arası,Kombi (Doğalgaz),,Kiracılı,İkinci El,Ara Kat,2200,Danışman,Evet,510000,40.92789658,29.12643623,Feyzullah,Maltepe, İstanbul,,
2150,70,69,2+1,1,3,2,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,,Evet,245000,41.00033949,29.22320902,Abdurrahmangazi,Sancaktepe, İstanbul,0,
2151,100,95,2+1,1,6,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,En Üst Kat,,İnşaat Geliştirici,Evet,235000,41.02332697,28.68963913,İnönü,Esenyurt, İstanbul,,Evet
2152,175,160,3+1,2,6,1,26-30 arası,Merkezi Sistem,Sadece Beyaz Eşya,Mülk Sahibi,İkinci El,Ara Kat,0,Danışman,Evet,5850000,41.08665717,29.03189032,Akat,Beşiktaş, İstanbul,1700,
2153,90,89,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,1600,,Evet,549000,41.06584027,28.89294863,Yıldırım,Bayrampaşa, İstanbul,30,
2154,120,100,3+1,1,4,Müstakil,11-15 arası,Kombi (Doğalgaz),Eşyasız,Boş,,,0,,Evet,510000,41.01890495,29.0757224,Bulgurlu,Üsküdar, İstanbul,0,
2155,90,85,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,,İnşaat Geliştirici,Evet,205000,41.03400864,28.68473279,Sultaniye,Esenyurt, İstanbul,,Evet
2156,135,125,3+1,1,5,Bahçe katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,Danışman,Evet,165000,41.03952616,28.6919152,Balıkyolu,Esenyurt, İstanbul,,
2157,122,121,3+1,2,10-20 arası,Zemin Kat,0,Güneş Enerjisi,,,Yapım Aşamasında,,0,,Evet,540000,41.13268,28.83236,Eski Habipler,Sultangazi, İstanbul,0,
2158,130,115,3+1,2,4,1,16-20 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Ara Kat,,Danışman,Evet,300000,40.98992865,28.68052293,Yakuplu,Beylikdüzü, İstanbul,,Evet
2159,130,129,2+1,1,1,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,0,Danışman,Evet,848000,41.17464857,29.03496623,Maden,Sarıyer, İstanbul,0,
2160,85,70,2+1,1,10-20 arası,10,6-10 arası,Merkezi Sistem (Isı Payı Ölçer),Eşyasız,Mülk Sahibi,,,0,,Evet,310000,41.10797386,28.75509658,Kayabaşı,Başakşehir, İstanbul,0,
2161,85,75,2+1,1,5,Yüksek Giriş,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,,,Danışman,Evet,150000,41.03674235,28.69037025,Balıkyolu,Esenyurt, İstanbul,,
2162,100,90,2+1,2,5,Kot 1,2,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Bahçe Katı,,İnşaat Geliştirici,Evet,155000,40.98720753,28.67593099,Yakuplu,Beylikdüzü, İstanbul,,Evet
2163,135,125,3+1,2,10-20 arası,13,2,Klima,Sadece Beyaz Eşya,Boş,,Ara Kat,0,,Evet,400000,41.01445088,28.68507734,Zafer,Esenyurt, İstanbul,0,
2164,115,100,2+1,1,10,4,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1400,İnşaat Geliştirici,Evet,340000,41.01694674,28.65347238,Cumhuriyet,Esenyurt, İstanbul,100,Evet
2165,90,80,2+1,1,5,1,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1400,Danışman,Evet,300000,41.08470762,28.93667063,Çırçır,Eyüpsultan, İstanbul,0,
2166,190,160,4+1,3,3,3,16-20 arası,Kombi (Doğalgaz),,Mülk Sahibi,İkinci El,Dubleks,1300,Danışman,Evet,299000,41.08000638,28.2296119,Mimar Sinan,Silivri, İstanbul,,Evet
2167,130,105,3+1,2,8,6,21-25 arası,Kombi (Doğalgaz),Eşyasız,Boş,,Ara Kat,0,,Evet,850000,40.96792875,29.07982098,Erenköy,Kadıköy, İstanbul,0,
2168,110,100,2+1,1,6,Giriş Katı,0,Kombi (Doğalgaz),Eşyasız,Boş,Sıfır,Giriş Kat,1000,İnşaat Geliştirici,Evet,169000,41.01384109,28.67057367,Mehmet Akif Ersoy,Esenyurt, İstanbul,0,Evet
2169,135,110,3+1,1,4,1,4,Kombi (Doğalgaz),Eşyasız,Kiracılı,İkinci El,Ara Kat,1500,Danışman,Evet,365000,41.05640496,28.82764086,Mahmutbey,Bağcılar, İstanbul,0,
2170,90,85,2+1,1,5,4,6-10 arası,Kombi (Doğalgaz),Sadece Mutfak,Boş,İkinci El,Ara Kat,1600,Danışman,Evet,365000,40.99891325,28.85108471,Şirinevler,Bahçelievler, İstanbul,30,
2171,100,72,2+1,2,10-20 arası,1,0,Kalorifer (Doğalgaz),Eşyasız,Boş,Sıfır,Ara Kat,1600,Danışman,Evet,525000,40.87429931,29.25026747,Kaynarca,Pendik, İstanbul,270,
2172,85,80,2+1,1,3,Bahçe katı,6-10 arası,Kombi (Doğalgaz),Eşyasız,Boş,İkinci El,Bahçe Katı,,Danışman,Evet,150000,41.1084413,28.85667257,İsmetpaşa,Sultangazi, İstanbul,,Evet
